timestamp,non2xx_count,non2xx_percent,total_requests,slow_count_50ms,slow_percent_50ms,slow_count_100ms,slow_percent_100ms,slow_count_200ms,slow_percent_200ms
2025-05-11 06:57:57,0,0.00,6,0,0.00,0,0.00,0,0.00
2025-05-11 06:58:03,0,0.00,7,0,0.00,0,0.00,0,0.00
2025-05-11 06:58:08,0,0.00,16,0,0.00,0,0.00,0,0.00
2025-05-11 06:58:13,0,0.00,19,0,0.00,0,0.00,0,0.00
2025-05-11 06:58:19,0,0.00,22,0,0.00,0,0.00,0,0.00
2025-05-11 06:58:24,0,0.00,24,0,0.00,0,0.00,0,0.00
2025-05-11 06:58:29,0,0.00,28,0,0.00,0,0.00,0,0.00
2025-05-11 06:58:35,0,0.00,32,0,0.00,0,0.00,0,0.00
2025-05-11 06:58:40,0,0.00,32,0,0.00,0,0.00,0,0.00
2025-05-11 06:58:45,0,0.00,32,0,0.00,0,0.00,0,0.00
2025-05-11 06:58:51,0,0.00,32,0,0.00,0,0.00,0,0.00
2025-05-11 06:58:56,0,0.00,32,0,0.00,0,0.00,0,0.00
2025-05-11 06:59:01,0,0.00,32,0,0.00,0,0.00,0,0.00
2025-05-11 06:59:07,0,0.00,32,0,0.00,0,0.00,0,0.00
2025-05-11 06:59:12,0,0.00,32,0,0.00,0,0.00,0,0.00
2025-05-11 06:59:17,0,0.00,32,0,0.00,0,0.00,0,0.00
2025-05-11 06:59:23,0,0.00,32,0,0.00,0,0.00,0,0.00
2025-05-11 06:59:28,0,0.00,32,0,0.00,0,0.00,0,0.00
2025-05-11 06:59:33,0,0.00,32,0,0.00,0,0.00,0,0.00
2025-05-11 06:59:39,0,0.00,32,0,0.00,0,0.00,0,0.00
2025-05-11 06:59:44,0,0.00,32,0,0.00,0,0.00,0,0.00
2025-05-11 06:59:49,0,0.00,32,0,0.00,0,0.00,0,0.00
2025-05-11 06:59:54,0,0.00,32,0,0.00,0,0.00,0,0.00
2025-05-11 07:00:00,0,0.00,32,0,0.00,0,0.00,0,0.00
2025-05-11 07:00:05,0,0.00,32,0,0.00,0,0.00,0,0.00
2025-05-11 07:00:10,0,0.00,32,0,0.00,0,0.00,0,0.00
2025-05-11 07:00:16,0,0.00,32,0,0.00,0,0.00,0,0.00
2025-05-11 07:00:21,0,0.00,32,0,0.00,0,0.00,0,0.00
2025-05-11 07:00:26,0,0.00,32,0,0.00,0,0.00,0,0.00
2025-05-11 07:00:31,0,0.00,32,0,0.00,0,0.00,0,0.00
2025-05-11 07:00:37,0,0.00,32,0,0.00,0,0.00,0,0.00
2025-05-11 07:00:43,0,0.00,32,0,0.00,0,0.00,0,0.00
2025-05-11 07:00:48,0,0.00,32,0,0.00,0,0.00,0,0.00
2025-05-11 07:00:53,0,0.00,32,0,0.00,0,0.00,0,0.00
2025-05-11 07:00:59,0,0.00,32,0,0.00,0,0.00,0,0.00
2025-05-11 07:01:04,0,0.00,32,0,0.00,0,0.00,0,0.00
2025-05-11 07:01:09,0,0.00,32,0,0.00,0,0.00,0,0.00
2025-05-11 07:01:14,0,0.00,32,0,0.00,0,0.00,0,0.00
2025-05-11 07:01:20,0,0.00,32,0,0.00,0,0.00,0,0.00
2025-05-11 07:01:25,0,0.00,32,0,0.00,0,0.00,0,0.00
2025-05-11 07:01:30,0,0.00,32,0,0.00,0,0.00,0,0.00
2025-05-11 07:01:36,0,0.00,32,0,0.00,0,0.00,0,0.00
2025-05-11 07:01:41,0,0.00,32,0,0.00,0,0.00,0,0.00
2025-05-11 07:01:46,0,0.00,32,0,0.00,0,0.00,0,0.00
2025-05-11 07:01:51,0,0.00,32,0,0.00,0,0.00,0,0.00
2025-05-11 07:01:57,0,0.00,32,0,0.00,0,0.00,0,0.00
2025-05-11 07:02:02,0,0.00,32,0,0.00,0,0.00,0,0.00
